,text_original,text_traducido,clase_RegLog,clase_SVM,clase_NavieBayes
0, un abrazo los hermanos venezolanos desde ecuador feliz navidad,a hug the venezuelan brothers from ecuador merry christmas,2,2,1
1,hola chamo como estas sr cuanto tiempo tiene fuera del ecuador 1 año porque ese acento es que tu cont ,hello chamo how are you mr how long have you been outside the equator 1 year because that accent is that your cont,2,2,1
2, chamo el no gobierna el país el gobierna fuera de venezuela ejm bolivia argentina ecuador etc,chamo he does not rule the country he rules outside venezuela ejm bolivia argentina ecuador etc,2,2,1
3,la honrrilla llegó al combinado venezolano en ecuador que bien pero insisto fuera farías,The honrrilla arrived at the Venezuelan team in Ecuador that was fine but I insist it was farías,2,2,1
4, chamaaaa stoy viendo la mujer perfecta aqui en ecuador soy venezolano actuas increible fuera el cont ,Chamaaaa I'm seeing the perfect woman here in Ecuador I am Venezuelan you act incredible outside the cont,2,2,1
5,26 ecuador retoma el control del juego remate desde fuera de david quiróz obliga la volada del portero venezolano fútbol_ec,26 ecuador takes back control of the game shot from outside by david quiróz forces the flying of the venezuelan goalkeeper football_ec,2,2,1
6,venezolano coño los yankees quedaron fuera con los rangers ah venezuela le gano ecuador en sub20 por eso es estamoscomoestamos,"Venezuelan pussy the Yankees were left out with the Rangers, Venezuela won Ecuador in U20, that's why we are like we are",1,2,1
7,pedazo de pendejo cegados por el odio opositores venezolanos aseguran que hechos de ecuador son un montaje ,piece of asshole blinded by hatred Venezuelan opponents assure that facts of Ecuador are a montage,2,2,2
8, que vaya vigilia el ni que fuera peo de nosotros los venezolanos lo que pasa en ecuador ,Let there be a vigil or that it would be one of us Venezuelans what happens in Ecuador,0,2,1
9,facistas viva el ecuador viva la revolución ciudadana viva correa fuera los golpistas ecuador el bravo pueblo venezolano te apoyamos,fascists long live ecuador long live the citizen revolution long strap out the coup plotters ecuador the brave Venezuelan people we support you,2,2,1
10,el pueblo venezolano apoyando nuestro camarada el pdte rafael correa vamos ecuador defender su gobierno fuera la ultraderecha,the Venezuelan people supporting our comrade PD Rafael Correa we go Ecuador defend his government outside the far right,2,0,1
11, dale correa hermanos venezolanos ponganse pilas hagan como en ecuador fuera chavez sisepuede ,"Give it a go, Venezuelan brothers, put your batteries, do as in Ecuador, outside Chavez, if you can",2,2,1
12,tan mal nos hizo quedar el gobierno venezolano quedamos como manipuladores de ecuador de la oea además escondiendo asesinos,"The Venezuelan government made us look so bad we remained as manipulators of the Ecuador of the OAS, also hiding murderers",2,2,2
13,la opocision venezolana cada dia estan mas locos ha hora que venezuela gobierna ecuador si fuera usa que gobernara venezuela si,The Venezuelan opposition is getting crazier every day now that Venezuela rules Ecuador if it were to use Venezuela to rule if,2,2,1
14,q terrible chavez ha insunflado odio entre seguidores no parecen criollos hc es el antimodelo venezolano via atento ecuador,q terrible chavez has instilled hatred among followers do not seem creoles hc is the Venezuelan antimodel via attentive ecuador,2,2,1
15,ese panfleto que se llama el universal destila odio contra los venezolanos contra el pueblo del ecuador ,that pamphlet called el universal exudes hatred against Venezuelans against the people of Ecuador,2,2,1
